Time; HostId; CPU; Memory; Storage; N_VM
2; 10001; 0; 6.25; 1.25; 1
2; 10002; 0; 7.85; 3.33333; 2
2; 10003; 0; 7.85; 3.33333; 2
2; 10004; 0; 1.6; 2.08333; 1
2; 10005; 0; 0; 0; 0
2; 10006; 0; 0; 0; 0
2; 10007; 0; 0; 0; 0
2; 10008; 0; 0; 0; 0
2; 10009; 0; 0; 0; 0
4; 10001; 0; 18.75; 3.75; 3
4; 10002; 0; 7.85; 3.33333; 2
4; 10003; 0; 28.475; 7.91667; 5
4; 10004; 0; 1.6; 2.08333; 1
4; 10005; 0; 8.125; 2.08333; 1
4; 10006; 0; 0; 0; 0
4; 10007; 0; 8.125; 2.08333; 1
4; 10008; 0; 0; 0; 0
4; 10009; 0; 0; 0; 0
6; 10001; 0; 18.75; 3.75; 3
6; 10002; 0; 7.85; 3.33333; 2
6; 10003; 0; 28.475; 7.91667; 5
6; 10004; 0; 1.6; 2.08333; 1
6; 10005; 0; 8.125; 2.08333; 1
6; 10006; 0; 0; 0; 0
6; 10007; 0; 8.125; 2.08333; 1
6; 10008; 0; 0; 0; 0
6; 10009; 0; 0; 0; 0
8; 10001; 0; 25; 5; 4
8; 10002; 0; 7.85; 3.33333; 2
8; 10003; 0; 34.725; 9.16667; 6
8; 10004; 0; 1.6; 2.08333; 1
8; 10005; 0; 8.125; 2.08333; 1
8; 10006; 0; 0; 0; 0
8; 10007; 0; 8.125; 2.08333; 1
8; 10008; 0; 0; 0; 0
8; 10009; 0; 0; 0; 0
10; 10001; 0.0126287; 31.25; 6.25; 5
10; 10002; 0.0195155; 14.1; 4.58333; 3
10; 10003; 0.0528807; 40.975; 10.4167; 7
10; 10004; 0.0030116; 1.6; 2.08333; 1
10; 10005; 0.0333652; 8.125; 2.08333; 1
10; 10006; 0; 0; 0; 0
10; 10007; 0.0332781; 8.125; 2.08333; 1
10; 10008; 0; 0; 0; 0
10; 10009; 0; 0; 0; 0
12; 10001; 0.0126287; 31.25; 6.25; 5
12; 10002; 0.0195155; 14.1; 4.58333; 3
12; 10003; 0.0528807; 40.975; 10.4167; 7
12; 10004; 0.0030116; 1.6; 2.08333; 1
12; 10005; 0.0333652; 8.125; 2.08333; 1
12; 10006; 0; 0; 0; 0
12; 10007; 0.0332781; 8.125; 2.08333; 1
12; 10008; 0; 0; 0; 0
12; 10009; 0; 0; 0; 0
14; 10001; 0.0126287; 31.25; 6.25; 5
14; 10002; 0.0195155; 14.1; 4.58333; 3
14; 10003; 0.0528807; 40.975; 10.4167; 7
14; 10004; 0.0030116; 1.6; 2.08333; 1
14; 10005; 0.0333652; 8.125; 2.08333; 1
14; 10006; 0; 0; 0; 0
14; 10007; 0.0332781; 8.125; 2.08333; 1
14; 10008; 0; 0; 0; 0
14; 10009; 0; 0; 0; 0
16; 10001; 0.0126287; 31.25; 6.25; 5
16; 10002; 0.0195155; 14.1; 4.58333; 3
16; 10003; 0.0528807; 40.975; 10.4167; 7
16; 10004; 0.0030116; 1.6; 2.08333; 1
16; 10005; 0.0333652; 8.125; 2.08333; 1
16; 10006; 0; 0; 0; 0
